0,36,76,91,89,53,67,72,39,60,64,69,69
36,0,60,98,89,65,74,92,46,90,94,56,81
76,60,0,58,44,72,33,82,63,119,99,21,66
91,98,58,0,45,44,29,40,70,82,54,63,29
89,89,44,45,0,67,28,76,69,115,93,49,60
53,65,72,44,67,0,45,29,30,65,45,77,18
67,74,33,29,28,45,0,53,46,92,70,38,37
72,92,82,40,76,29,53,0,56,51,23,86,20
39,46,63,70,69,30,46,56,0,65,59,65,46
60,90,119,82,115,65,92,51,65,0,32,120,61
64,94,99,54,93,45,70,23,59,32,0,104,37
69,56,21,63,49,77,38,86,65,120,104,0,71
69,81,66,29,60,18,37,20,46,61,37,71,0
